Episode,Air Date,Challenge,Sasha,Mistress,Anetra,Luxx,Loosey,Salina,Marcia,Malaysia,Spice,Jax,Aura,Robin,Amethyst,Sugar,Princess,Irene
,,,38,34,34,34,30,21,22,18,12,11,11,9,6,4,2,1
,,Eliminated,in,in,in,in,5,6,7,8,9,10,11,12,13,14,15,16
1,1/6/23,Mini,,,,,mini,,,,,,,,,,,mini
,,,,,,,+1,,,,,,,,,,,+1
,,Talent Show,safe,safe,win,safe,low,safe,high,safe,safe,high,safe,safe,bttm,safe,safe,bttm
,,,+2,+2,+4,+2,+1,+2,+3,+2,+2,+3,+2,+2,0,+2,+2,0
,,Lip Sync,,,,,,,,,,,,,shantay,,,sashay
,,,,,,,,,,,,,,,+2,,,0
2,1/13/23,Advert,win,safe,safe,high,high,safe,safe,safe,safe,low,safe,safe,bttm,safe,bttm,
,,,+4,+2,+2,+3,+3,+2,+2,+2,+2,+1,+2,+2,0,+2,0,
,,Lip Sync,,,,,,,,,,,,,shantay,,sashay,
,,,,,,,,,,,,,,,+2,,0,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3,1/20/23,Snatch Game,safe,high,safe,safe,win,safe,high,safe,bttm,safe,low,safe,safe,bttm,,
,,,+2,+3,+2,+2,+4,+2,+3,+2,0,+2,+1,+2,+2,0,,
,,Lip Sync,,,,,,,,,shantay,,,,,sashay,,
,,,,,,,,,,,+2,,,,,0,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
4,1/27/23,Mini,,,,,mini,,,,,,,,,,,
,,,,,,,+1,,,,,,,,,,,
,,Design,high,safe,safe,win,safe,low,safe,high,safe,low,safe,high,bttm,,,
,,,+3,+2,+2,+4,+2,+1,+2,+3,+2,+1,+2,+3,0,,,
,,Lip Sync,,,,,,,,,,,,,sashay,,,
,,,,,,,,,,,,,,,0,,,
5,2/3/23,Girl Groups,high,high,low,safe,safe,safe,safe,safe,safe,bttm,win,bttm,,,,
,,,+3,+3,+1,+2,+2,+2,+2,+2,+2,0,+4,0,,,,
,,Lip Sync,,,,,,,,,,shantay,,sashay,,,,
,,,,,,,,,,,,+2,,0,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
6,2/10/23,Acting,safe,win,high,safe,safe,safe,high,high,low,bttm,bttm,,,,,
,,,+2,+4,+3,+2,+2,+2,+3,+3,+1,0,0,,,,,
,,Lip Sync,,,,,,,,,,shantay,sashay,,,,,
,,,,,,,,,,,,+2,0,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
7,2/17/23,LalapaRuza,high,high,low,safe,high,high,high,safe,low,sashay,,,,,,
,,,+3,+3,+1,+2,+3,+3,+3,+2,+1,0,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8,2/24/23,Mini,,,mini,,,,,,,,,,,,,
,,,,,+1,,,,,,,,,,,,,
,,Ball,win,high,high,safe,low,bttm,safe,safe,bttm,,,,,,,
,,,+4,+3,+3,+2,+1,0,+2,+2,0,,,,,,,
,,Lip Sync,,,,,,shantay,,,sashay,,,,,,,
,,,,,,,,+2,,,0,,,,,,,
9,3/3/23,Improv,win,low,safe,high,high,bttm,safe,bttm,,,,,,,,
,,,+4,+1,+2,+3,+3,0,+2,0,,,,,,,,
,,Lip Sync,,,,,,shantay,,sashay,,,,,,,,
,,,,,,,,+2,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,3/10/23,Mini,,,mini,,,,,,,,,,,,,
,,,,,+1,,,,,,,,,,,,,
,,Stand Up,low,high,bttm,win,win,high,bttm,,,,,,,,,
,,,+1,+3,0,+4,+4,+3,0,,,,,,,,,
,,Lip Sync,,,shantay,,,,sashay,,,,,,,,,
,,,,,+2,,,,0,,,,,,,,,
11,3/17/23,Rusical,high,high,win,high,bttm,bttm,,,,,,,,,,
,,,+3,+3,+4,+3,0,0,,,,,,,,,,
,,Lip Sync,,,,,shantay,sashay,,,,,,,,,,
,,,,,,,+2,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
12,3/24/23,Mini,,,,,mini,,,,,,,,,,,
,,,,,,,+1,,,,,,,,,,,
,,Makeover,high,high,win,bttm,bttm,,,,,,,,,,,
,,,+3,+3,+4,0,0,,,,,,,,,,,
,,Lip Sync,,,,shantay,sashay,,,,,,,,,,,
,,,,,,+2,0,,,,,,,,,,,
13,3/31/23,Rumix,win,bttm,bttm,high,,,,,,,,,,,,
,,,+4,0,0,+3,,,,,,,,,,,,
,,Lip Sync,,shantay,shantay,,,,,,,,,,,,,
,,,,+2,+2,,,,,,,,,,,,,